日本ファイバー株式会社,繊維／商社（繊維製品）／専門店（服飾雑貨・繊維製品・貴金属）／エネルギー／各ビジネスサービス,福岡,https://job.rikunabi.com/2016/company/top/r623530054/
カイタックグループ,繊維／商社（アパレル・服飾雑貨・貴金属）／商社（繊維製品）／専門店（服飾雑貨・繊維製品・貴金属）,岡山、東京,https://job.rikunabi.com/2016/company/top/r879200024/
丸三産業株式会社,繊維／化粧品／医療機器／医薬品／医療関連,愛媛,https://job.rikunabi.com/2016/company/top/r266600084/
一広株式会社,繊維／服飾雑貨・皮革製品／商社（繊維製品）／商社（アパレル・服飾雑貨・貴金属）／専門店（服飾雑貨・繊維製品・貴金属）,愛媛、東京,https://job.rikunabi.com/2016/company/top/r124130039/
ダイヤ工業株式会社,医療機器／その他製造／繊維／医薬品,岡山,https://job.rikunabi.com/2016/company/top/r964900009/
加茂繊維株式会社,繊維／服飾雑貨・皮革製品／商社（繊維製品）／商社（アパレル・服飾雑貨・貴金属）／専門店（服飾雑貨・繊維製品・貴金属）,岡山、東京,https://job.rikunabi.com/2016/company/top/r893021059/
株式会社トンボ,繊維／服飾雑貨・皮革製品／商社（アパレル・服飾雑貨・貴金属）／商社（繊維製品）,岡山、東京,https://job.rikunabi.com/2016/company/top/r878400033/
株式会社ジョア,繊維／商社（アパレル・服飾雑貨・貴金属）／服飾雑貨・皮革製品／その他製造／その他商社,岡山,https://job.rikunabi.com/2016/company/top/r264630056/
有限会社ニイヨンイチ,服飾雑貨・皮革製品／繊維／その他製造／専門店（服飾雑貨・繊維製品・貴金属）,岡山,https://job.rikunabi.com/2016/company/top/r181810036/
冨士ベークライト株式会社,その他製造,岡山,https://job.rikunabi.com/2016/company/top/r744530040/
倉敷レーザー株式会社,その他製造／金属製品／非鉄金属／自動車／機械,岡山,https://job.rikunabi.com/2016/company/top/r880900052/
日本フィールドシステム株式会社,その他製造／建設／その他商社,岡山,https://job.rikunabi.com/2016/company/top/r427430042/
カウテックスジャパン株式会社,輸送機器／自動車／化学／機械／その他製造,広島,https://job.rikunabi.com/2016/company/top/r143021077/
株式会社シンニチロ,その他サービス／鉄鋼／化学／その他製造,岡山,https://job.rikunabi.com/2016/company/top/r932730002/
株式会社本山合金製作所,非鉄金属／機械／その他製造／精密機器,岡山,https://job.rikunabi.com/2016/company/top/r829120026/
株式会社ジップ,その他サービス／印刷関連／人材関連（派遣・職紹介・務請負）／その他製造／情報処理,岡山,https://job.rikunabi.com/2016/company/top/r329900032/
株式会社アルボレックス,建材・エクステリア／住宅／文具・事務機器・インテリア／設備関連／その他製造,徳島,https://job.rikunabi.com/2016/company/top/r260700013/
アオイ電子株式会社,半導体・電子部品・その他／コンピュータ・通信機器・ＯＡ機器／機械／精密機器／その他製造,香川,https://job.rikunabi.com/2016/company/top/r534200025/
株式会社大創産業,専門店（複合）／その他製造／商社（総合）／文具・事務機器・インテリア／商社（事務機器・ＯＡ関連）,広島、東京,https://job.rikunabi.com/2016/company/top/r834400054/
株式会社いうら,医療機器／機械／その他製造,愛媛,https://job.rikunabi.com/2016/company/top/r500900029/
株式会社あわしま堂,食品／その他製造,愛媛,https://job.rikunabi.com/2016/company/top/r175200000/
株式会社キャステム,金属製品／機械／その他製造,広島,https://job.rikunabi.com/2016/company/top/r564110094/
新井産業株式会社,食品／紙・パルプ／印刷関連／石油・石炭／その他製造,愛媛,https://job.rikunabi.com/2016/company/top/r145420024/
オーティス株式会社,半導体・電子部品・その他／コンピュータ・通信機器・ＯＡ機器／精密機器／医療機器／その他製造,岡山,https://job.rikunabi.com/2016/company/top/r348520087/
シーピー化成株式会社,化学／その他製造／商社（食料品）／商社（化学製品）／商社（総合）,岡山、東京,https://job.rikunabi.com/2016/company/top/r287400019/
株式会社山本製作所,機械／重電・産用電気機器／プラント・エンジニアリング／家電・ＡＶ機器／その他製造,広島,https://job.rikunabi.com/2016/company/top/r185330065/
サヌキ印刷株式会社,印刷関連／紙・パルプ／その他製造,香川,https://job.rikunabi.com/2016/company/top/r967300071/
森正株式会社,その他製造／商社（インテリア）／その他専門店・小売,徳島,https://job.rikunabi.com/2016/company/top/r188361052/
愛媛小林製薬株式会社,その他製造／繊維／化学,愛媛,https://job.rikunabi.com/2016/company/top/r378200027/
株式会社尚和包装工業,建材・エクステリア／紙・パルプ／その他製造／商社（建材・エクステリア）／商社（紙）,広島,https://job.rikunabi.com/2016/company/top/r699230057/
大塚包装工業株式会社,印刷関連／紙・パルプ／その他製造,徳島,https://job.rikunabi.com/2016/company/top/r959200079/
株式会社三協システム,機械／紙・パルプ／医薬品／食品／その他製造,愛媛,https://job.rikunabi.com/2016/company/top/r432940009/
株式会社第一学習社,出版／その他製造／文具・事務機器・インテリア,広島,https://job.rikunabi.com/2016/company/top/r706400054/
フジワラ化学株式会社,化学／その他製造／建材・エクステリア／住宅／商社（インテリア）,愛媛,https://job.rikunabi.com/2016/company/top/r793600096/
株式会社シギヤ精機製作所,機械／精密機器／輸送機器／その他製造,広島,https://job.rikunabi.com/2016/company/top/r739520023/
尾道造船株式会社,輸送機器／その他製造,兵庫、広島,https://job.rikunabi.com/2016/company/top/r158611090/
株式会社マンセイ,機械／輸送機器／その他製造,広島,https://job.rikunabi.com/2016/company/top/r801910038/
株式会社トーヨ,紙・パルプ／その他製造／商社（紙）,愛媛,https://job.rikunabi.com/2016/company/top/r469400059/
潮冷熱株式会社,機械／設備関連／金属製品／プラント・エンジニアリング／その他製造,愛媛,https://job.rikunabi.com/2016/company/top/r637700012/
株式会社宮島,輸送機器／非鉄金属／その他製造,広島,https://job.rikunabi.com/2016/company/top/r422901043/
株式会社白十字,食品／その他製造／その他専門店・小売,岡山,https://job.rikunabi.com/2016/company/top/r800600008/
株式会社豆子郎,食品／その他専門店・小売／レストラン・フード／その他サービス／その他製造,山口,https://job.rikunabi.com/2016/company/top/r617820082/
株式会社ぶつだんのもり,その他専門店・小売／その他商社／その他製造,徳島,https://job.rikunabi.com/2016/company/top/r626630038/
株式会社古川製作所,機械／その他製造,東京、広島,https://job.rikunabi.com/2016/company/top/r802410031/
株式会社ダイキアクシス,その他製造／設備関連／建材・エクステリア／プラント・エンジニアリング／エネルギー,愛媛,https://job.rikunabi.com/2016/company/top/r934210080/
山陽精機株式会社,金属製品／その他製造／自動車／機械,岡山,https://job.rikunabi.com/2016/company/top/r800220062/
福助工業株式会社,印刷関連／化学／紙・パルプ／その他製造,愛媛,https://job.rikunabi.com/2016/company/top/r662600048/
株式会社　源 吉兆庵,食品／その他製造／商社（食料品）／レストラン・フード／百貨店,岡山,https://job.rikunabi.com/2016/company/top/r582420019/
日本運搬機械株式会社,輸送機器／設備関連／その他製造／メンテナンス・清掃事／安全・セキュリティ産,広島,https://job.rikunabi.com/2016/company/top/r954951053/
大下産業株式会社,機械／化学／自動車／医療機器／その他製造,広島,https://job.rikunabi.com/2016/company/top/r327540078/
東進工業株式会社,機械／その他製造／金属製品,岡山,https://job.rikunabi.com/2016/company/top/r257761006/
四国化工機株式会社,機械／食品／その他製造,徳島,https://job.rikunabi.com/2016/company/top/r809300066/
丸善工業株式会社,印刷関連／化学／その他製造,香川,https://job.rikunabi.com/2016/company/top/r476600034/
株式会社三村松,その他製造／文具・事務機器・インテリア／冠婚葬祭／その他専門店・小売／その他サービス,広島,https://job.rikunabi.com/2016/company/top/r668600045/
増成織ネーム株式会社,商社（繊維製品）／商社（アパレル・服飾雑貨・貴金属）／繊維／その他製造／商社（スポーツ用品）,広島,https://job.rikunabi.com/2016/company/top/r585600041/
四国段ボール株式会社,紙・パルプ／印刷関連／その他製造,香川,https://job.rikunabi.com/2016/company/top/r319300084/
広島ガス株式会社,ガス／その他製造,広島,https://job.rikunabi.com/2016/company/top/r633511020/
眞鍋造機株式会社,機械／輸送機器／その他製造／商社（機械）／海運,愛媛,https://job.rikunabi.com/2016/company/top/r336600067/
はやしばら有限会社,その他商社／商社（建材・エクステリア）／その他製造,香川,https://job.rikunabi.com/2016/company/top/r768430049/
株式会社ダイコーテクノ,機械／プラント・エンジニアリング／金属製品／その他製造／機械設計,広島,https://job.rikunabi.com/2016/company/top/r125530005/
有限会社カヨーメカニカル,機械／機械設計／輸送機器／金属製品／その他製造,岡山,https://job.rikunabi.com/2016/company/top/r264951093/
株式会社ヤマダ,印刷関連／その他製造,香川,https://job.rikunabi.com/2016/company/top/r766030029/
株式会社木谷仏壇,その他専門店・小売／冠婚葬祭／その他商社／その他製造／その他サービス,香川,https://job.rikunabi.com/2016/company/top/r613300053/
明星産商株式会社,化粧品／医薬品／機械／紙・パルプ／その他製造,高知,https://job.rikunabi.com/2016/company/top/r129600066/
有限会社大黒屋,レストラン・フード／食品／その他サービス／その他製造／専門コンサルタント,愛媛,https://job.rikunabi.com/2016/company/top/r332890038/
マツダ株式会社,自動車／その他製造／輸送機器,広島、東京,https://job.rikunabi.com/2016/company/top/r402500013/
株式会社エフピコ,化学／その他製造／商社（総合）／商社（化学製品）／商社（食料品）,広島、東京,https://job.rikunabi.com/2016/company/top/r872600098/
神島化学工業株式会社,化学／ガラス・セラミックス／建材・エクステリア／住宅／その他製造,大阪、香川,https://job.rikunabi.com/2016/company/top/r585300053/
